unit_id,ISP,Technology,PACKAGE (download by upload),Distance from exchange - DSL only,MarketClass,Region,Country,Geography,Download - 24 (ave),Download - 24 min(ave),Download - 24 max (ave),Download - peak (ave),Download - peak min(ave),Download - peak max (ave),Download - 0-6am,Download - 6am-12am,Download - 12-18pm,Download - 18-19pm,Download - 19-20pm,Download - 20-21pm,Download - 21-22pm,Download - 22-23pm,Download - 23pm-00midnight,Upload - 24 (ave),Upload - 24 min(ave),Upload - 24 max (ave),Upload - peak (ave),Upload - peak min(ave),Upload - peak max (ave),DNS Failure 24hr,DNS Failure peak,DNS Rate - 24h,DNS Rate - peak,Jitter-upstream - 24h,Jitter-upstream - peak,Jitter-downstream - 24h,Jitter-downtream - peak,Latency - 24h,Latency - peak,Packet Loss - 24h,Packet Loss - peak,Web loading - 24h,Web loading - peak,Disconnections,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak,iPlayerUHD24hr,iPlayerHD24hr,iPlayerSD24hr,iPlayerFailed24hr,iPlayerStartupDelay24hr,iPlayerUHDPeak,iPlayerHDPeak,iPlayerSDPeak,iPlayerFailedPeak,iPlayerStartupDelayPeak,isp_wghts,Natweight,rural_weight
941318,Virgin,Cable,100,,B,Scotland,Scotland,Urban,110.24,100.78,108.8,110.57,110.3,110.93,107.89,109.32,111.34,110.97,110.2,110.78,110.43,109.39,109.32,9.97,9.6,9.71,9.96,9.95,9.97,0.14%,0.00%,11.72,11.8,1.09,1.13,0.06,0.06,18.76,18.8,0.15%,0.00%,288.58,293.99,,2.22%,97.78%,0.00%,0.00%,528.54,0.00%,100.00%,0.00%,0.00%,498.11,99.27%,0.73%,0.00%,0.00%,422.12,100.00%,0.00%,0.00%,0.00%,437.41,0.00%,100.00%,0.00%,0.00%,802.71,0.00%,100.00%,0.00%,0.00%,771.44,1,0.718,1.08753
1323,Plusnet,FTTC,76,,B,London,England,Urban,65.53,62.78,66.19,64.56,63.66,64.26,66.18,66.07,65.44,65.62,65.33,65.08,63.99,64.83,65.37,11.79,11.73,11.87,11.82,11.81,11.84,0.23%,0.00%,5.04,5.25,0.24,0.24,0.34,0.41,4.44,4.47,0.03%,0.01%,82.87,88.97,0.04,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,519.29,100.00%,0.00%,0.00%,0.00%,573.3,,,,,,,,,,,0.88,,
22074685,KCOM,FTTP,30,,Hull,Yorkshire & Humberside,England,Urban,30.36,28.05,31.45,29.26,28.8,29.93,31.42,31.26,31.26,29.6,29.33,29.08,29.44,29.77,30.49,16.13,15.93,16.22,16.07,16.03,16.13,0.74%,2.09%,4.04,4.11,0.19,0.25,0.25,0.8,10.46,11.11,3.79%,4.76%,178.91,189.59,52.73,2.63%,94.74%,2.63%,0.00%,475.99,,,,,,100.00%,0.00%,0.00%,0.00%,1016.67,,,,,,0.00%,100.00%,0.00%,0.00%,1079.39,,,,,,1,0.0016,0.26727
1360,Sky,ADSL2,11,2251 to 2500m,B,North West,England,Rural,5.91,4.17,6.08,5.81,5.56,6.01,6.06,5.92,5.75,5.65,5.7,5.85,5.73,5.93,6.06,0.72,0.66,0.75,0.72,0.7,0.73,0.00%,0.00%,30.64,31.91,1,0.95,0.53,0.77,38.37,38.64,0.10%,0.08%,901.45,921.95,0.07,0.00%,94.24%,5.76%,0.00%,1970.42,0.00%,94.83%,5.17%,0.00%,1963.22,0.00%,98.60%,1.40%,0.00%,2387.81,0.00%,98.31%,1.69%,0.00%,2515.16,0.00%,92.48%,7.52%,0.00%,3082.76,0.00%,91.67%,8.33%,0.00%,3320.73,1.633333333,6.0001,0.52838
813667,Plusnet,ADSL1,8,2001 to 2250m,B,South East,England,Rural,1.52,1.2,1.61,1.5,1.46,1.57,1.54,1.51,1.55,1.49,1.5,1.53,1.47,1.5,1.46,0.13,0.07,0.14,0.13,0.1,0.13,0.03%,0.00%,59.89,56.39,14.04,16.21,0.71,1.05,42.44,45.22,0.32%,1.64%,3544.7,3793.38,42.17,0.00%,0.00%,100.00%,0.00%,4317.17,0.00%,0.00%,100.00%,0.00%,3162.38,0.00%,0.00%,100.00%,0.00%,4029.69,0.00%,0.00%,100.00%,0.00%,4040.81,0.00%,0.00%,100.00%,0.00%,3553.32,0.00%,0.00%,100.00%,0.00%,3665.88,,0.0064,0.35144
1381,Zen,FTTC,76,,B,South East,England,Rural,71.62,62.26,74.3,69.33,67.21,71.46,73.81,71.78,72.57,71.26,70.87,69.88,68.79,69.06,71.6,18.13,16.98,18.46,18.07,17.9,18.25,0.01%,0.14%,12.64,12.65,0.5,0.34,0.61,0.85,7.71,7.8,0.04%,0.10%,99.37,129.79,0.03,,,,,,,,,,,99.72%,0.28%,0.00%,0.00%,560.88,100.00%,0.00%,0.00%,0.00%,694.55,,,,,,,,,,,,,
940006,BT,ADSL1,8,3501 to 4000m,A,Scotland,Scotland,Rural,0.85,0.66,1,0.82,0.79,0.86,0.86,0.87,0.92,0.86,0.79,0.79,0.84,0.79,0.86,0.38,0.37,0.38,0.38,0.38,0.38,1.71%,2.98%,39.08,39.38,1.1,1.16,0.55,0.64,38.09,38.12,2.07%,0.44%,4295.25,4319.25,31.43,0.00%,0.00%,100.00%,0.00%,2353.6,0.00%,0.00%,100.00%,0.00%,2228.98,0.00%,0.00%,98.78%,1.22%,1901.02,0.00%,0.00%,100.00%,0.00%,1768.18,0.00%,0.51%,99.49%,0.00%,3309.95,0.00%,0.00%,100.00%,0.00%,3494.67,,3.5198,0.35144
1403,BT,FTTC,76,,B,Northern Ireland,Northern Ireland,Urban,74.04,69.45,74.41,73.4,72.6,74.2,73.44,74.09,74.07,74.04,73.79,72.85,73.95,73.99,73.77,18.56,18.45,18.57,18.55,18.52,18.57,0.06%,0.00%,17.59,17.45,0.19,0.18,0.32,0.32,17.19,17.21,0.05%,0.00%,175.8,173.03,0.1,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,448.32,100.00%,0.00%,0.00%,0.00%,447.6,,,,,,,,,,,1.172477064,,
143842,Vodafone,ADSL1,8,2501 to 2750m,B,Yorkshire & Humberside,England,Rural,7.31,3.62,7.89,7.62,7.26,7.85,4.35,7.77,7.39,7.49,7.73,7.56,7.75,7.78,7.75,0.36,0.12,0.42,0.39,0.36,0.42,0.36%,0.86%,52.9,44.05,1.29,3.51,0.56,0.41,27.63,27.87,0.54%,1.30%,1155.69,685.05,26.07,0.00%,94.10%,5.90%,0.00%,1697.68,0.00%,94.64%,5.36%,0.00%,1613.78,0.00%,96.50%,3.50%,0.00%,2505.73,0.00%,98.31%,1.69%,0.00%,2545.4,0.00%,91.21%,8.79%,0.00%,2838.81,0.00%,96.55%,3.45%,0.00%,3236.65,,,
1404,Sky,FTTC,76,,B,Northern Ireland,Northern Ireland,Urban,61.48,46.31,66.87,60.52,58.56,62.65,62.8,63.97,61.83,59.74,59.43,61.05,60.01,58.77,57.43,18.43,17.06,18.67,18.16,17.81,18.54,0.06%,0.00%,10.83,10.85,0.44,0.38,0.47,0.54,16,16.46,0.24%,0.06%,181.8,259.95,0.25,,,,,,,,,,,99.09%,0.91%,0.00%,0.00%,566.08,100.00%,0.00%,0.00%,0.00%,608.99,,,,,,,,,,,1.233942857,1.8464,0.96413
148396,Plusnet,ADSL2,17,0 to 100m,B,Wales,Wales,Rural,6.45,3.54,6.87,6.07,5.53,6.3,6.37,6.72,6.62,6.48,6.39,6.25,5.99,6.11,6.11,0.37,0.34,0.38,0.37,0.37,0.38,0.23%,0.00%,37.16,39.35,2.09,1.65,0.92,0.59,34.68,37.71,0.15%,0.33%,937.24,868.85,25.67,0.00%,94.56%,5.44%,0.00%,1748.58,0.00%,93.75%,6.25%,0.00%,1784.32,0.00%,95.67%,4.33%,0.00%,2299.3,0.00%,91.49%,8.51%,0.00%,2320.06,0.00%,94.93%,5.07%,0.00%,1884.93,0.00%,85.71%,14.29%,0.00%,1862.1,0.675,0,
1428,BT,FTTC,38,,B,Wales,Wales,Urban,31.65,31.55,31.73,31.61,31.6,31.63,31.74,31.62,31.65,31.61,31.62,31.61,31.62,31.61,31.63,4.83,4.8,4.84,4.83,4.83,4.83,0.00%,0.00%,24.73,24.84,0.3,0.3,0.31,0.32,24.96,24.93,0.03%,0.00%,260.84,257.29,0.15,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,1169.56,100.00%,0.00%,0.00%,0.00%,1248.81,,,,,,,,,,,0.854545455,,
