unit_id,Ofcom Product,region,Country,Urb Rural,,Technology,Market Class,DL24hrmean,DL24hrmin,DL24hrmax,DLpeakmean,DLpeakmin,DLpeakmax,UL24hrmean,UL24hrmin,UL24hrmax,ULpeakmean,ULpeakmin,ULpeakmax,DNSFail24hr,DNSFailPeak,DNSRTT24hr,DNSRTTPeak,JitterUp24hr,JitterUpPeak,JitterDown24hr,JitterDownPeak,Latency24hr,LatencyPeak,PacketLoss24hr,PacketLossPeak,Web24hr,WebPeak,Disconnections,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak
1322,Plusnet 76,South East,England,Semi-urban,501 to 750m,FTTC,2,73.61,68.82,74.3,73.1,68.76,74.31,18.52,18.06,18.58,18.5,17.27,18.6,0.01%,0.03%,7.09,7.14,0.25,0.26,0.28,0.33,6.11,6.16,0.00%,0.00%,114.94675,116.4475714,0,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,511.59,100.00%,0.00%,0.00%,0.00%,533.83
1333,Plusnet 20,West Midlands,England,Urban,501 to 750m,ADSL,3,14.92,14.1,15.09,14.87,14.09,15.07,0.74,0.69,0.75,0.74,0.63,0.75,0.18%,0.17%,36.12,35.95,0.79,0.86,0.85,0.88,33.24,33.3,0.01%,0.02%,421.3584964,425.078528,0.0323,,,,,,,,,,,2.25%,97.75%,0.00%,0.00%,1207.21,0.00%,100.00%,0.00%,0.00%,1184.38
1338,Virgin 70,West Midlands,England,Urban,251 to 500m,Cable,3,75.56,69.91,76.62,75.18,70.86,76.66,4.92,4.17,5,4.87,1.85,5,0.03%,0.00%,11.13,11.37,1.74,1.97,0.33,0.4,14,14.46,0.09%,0.01%,186.5947577,191.981422,0.4444,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,750.55,100.00%,0.00%,0.00%,0.00%,852.66
1345,Other 76,North West,England,Rural,2251 to 2500m,FTTC,1,61.57,58.09,62.93,61.27,59.48,60.68,17.87,17.83,17.89,17.87,17.79,17.92,0.02%,0.05%,28.81,28.68,0.29,0.29,0.32,0.32,22.46,22.5,0.03%,0.05%,224.0224601,226.1804,0.1613,,,,,,,,,,,96.72%,3.28%,0.00%,0.00%,959.85,94.07%,5.93%,0.00%,0.00%,1152.89
1366,Sky 20,North West,England,Urban,501 to 750m,ADSL,3,18.47,17.4,18.57,18.5,17.74,18.56,1.06,1.01,1.09,1.06,0.93,1.1,0.02%,0.03%,8.98,8.77,0.54,0.56,0.35,0.36,10.68,10.69,0.02%,0.01%,393.072072,450.8207007,0.0968,,,,,,,,,,,97.83%,2.17%,0.00%,0.00%,1994.46,97.37%,2.63%,0.00%,0.00%,2052.28
1375,BT 38,Yorkshire & Humberside,England,Urban,3501 to 3750m,FTTC,3,23.18,22.29,23.22,23.19,22.96,23.22,1.83,1.8,1.84,1.83,1.74,1.84,0.01%,0.00%,16.74,16.75,0.42,0.42,0.26,0.28,11.62,11.6,0.03%,0.00%,205.9295765,204.5636825,0.1935,,,,,,,,,,,98.85%,1.15%,0.00%,0.00%,1481.91,98.45%,1.55%,0.00%,0.00%,1509.72
1381,Other 76,South East,England,Rural,501 to 750m,FTTC,1,65.47,51.46,68.61,62.24,51.33,67.97,18.43,17.44,18.58,18.37,16.55,18.59,0.05%,0.00%,13.44,13.24,0.32,0.4,0.44,0.63,7.97,8.03,0.16%,0.28%,113.6523287,125.1581795,0.2258,,,,,,,,,,,97.49%,1.96%,0.28%,0.28%,885.45,99.24%,0.76%,0.00%,0.00%,730.44
1384,Plusnet 20,Yorkshire & Humberside,England,Semi-urban,501 to 750m,ADSL,3,10.82,8.59,11.55,10.97,9.53,11.52,0.8,0.75,0.82,0.8,0.45,0.91,0.24%,0.03%,28.24,28.79,0.59,0.62,0.47,0.5,25.28,25.4,0.71%,0.20%,525.0306191,501.5952419,11.1364,,,,,,,,,,,0.00%,95.18%,2.41%,2.41%,1991.67,,,,,
1403,BT 52,Northern Ireland,Northern Ireland,Semi-urban,Over 7000m,FTTC,2,50.79,47.46,51.12,50.56,47.33,51.12,9.28,9.23,9.29,9.28,9.12,9.31,0.03%,0.00%,16.9,16.91,0.21,0.22,0.2,0.22,18.02,17.81,0.01%,0.00%,187.0580463,185.5699796,0.0323,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,690.33,100.00%,0.00%,0.00%,0.00%,658.73
1404,Sky 76,Northern Ireland,Northern Ireland,Semi-urban,1001 to 1250m,FTTC,2,63.61,48.67,70.26,62.56,52.5,69.11,18.5,17.56,18.67,18.48,16.67,18.68,0.09%,0.00%,13.45,13.28,0.28,0.36,0.46,0.47,15.87,15.95,0.10%,0.04%,173.3992653,175.9608258,0.2258,,,,,,,,,,,98.87%,1.13%,0.00%,0.00%,660.22,99.25%,0.75%,0.00%,0.00%,622.44
