Unit_id,Distance band,Urban/rural,Market,ISP,Headline speed,Technology,Download speed (Mbit/s) 24-hour,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,ISP weights
1302,2563-5000,Urban,3,Virgin,60,Cable,44.203,62.67,29.129,3.027,3.152,3.024,17.914,0.002,18.413,0,1.993,0.459,2.127,1.262,16.167,0.03%,17.825,0.05%,290.459,383.314,1
1318,1367-1635,Urban,3,TalkTalk,20,ADSL2+,9.827,10.974,9.75,0.858,0.965,0.844,30.445,0,32.019,0.002,1.17,1.419,1.257,2.51,35.221,0.13%,37.079,0.37%,1046.414,1323.307,1.07
1319,1992-2563,Urban,3,Sky,20,ADSL2+,5.422,6.017,5.377,0.895,1.005,0.888,31.284,0,31.065,0.002,0.969,0.604,0.981,0.729,30.993,0.03%,31.486,0.01%,1368.282,1135.135,2.14
1320,1367-1635,Urban,3,Virgin,60,Cable,61.773,62.673,61.127,2.994,3.157,2.941,12.639,0.003,12.937,0,1.543,0.235,1.839,0.289,11.521,0.02%,12.051,0.02%,225.51,224.458,1
1321,763-946,Urban,3,Virgin,30,Cable,29.471,32.428,28.933,1.919,2.082,1.873,12.829,0.01,16.638,0,3.494,0.324,6.154,0.566,15.289,0.11%,17.048,0.12%,454.548,493.177,1
1326,1635-1992,Urban,3,Virgin,60,Cable,57.004,63.005,56.202,2.849,3.22,2.932,35.028,0.003,39.257,0,9.178,0.184,8.556,0.316,22.023,0.05%,23.228,0.03%,450.94,550.728,1
1329,582-763,Urban,3,Virgin,60,Cable,58.965,62.665,56.025,3.05,3.156,3.055,11.963,0.003,12.615,0,1.679,0.315,2.311,0.355,14.866,0.07%,15.442,0.02%,264.582,269.665,1
1333,582-763,Urban,3,Plusnet,20,ADSL1,15.955,16.261,15.951,0.766,0.828,0.764,35.383,0.006,40.202,0.024,0.617,0.536,0.678,0.729,32.001,0.05%,32.283,0.00%,522.887,569.297,0.72
1338,0-385,Urban,3,Virgin,30,Cable,27.589,31.393,27.675,1.98,2.081,1.979,22.494,0.002,24.115,0,5.653,0.188,8.445,0.314,14.561,0.19%,15.625,0.68%,316.631,298.268,1
1343,1143-1367,Rural,1,Sky,20,ADSL1,19.944,20.55,19.961,1.328,1.493,1.326,23.303,0.006,22.693,0.01,0.637,0.49,0.644,0.519,19.769,3.83%,20.379,4.88%,914.635,662.013,
