Unit ID,Ofcom Product,region,Country,Urb Rural,Distance from exchange,Technology,24 average download speed,24 minimum download speed,24 maximum download speed,Peak average download speed,Peak minimum download speed,Peak maximum download speed,24 average upload speed,24 minimum upload speed,24 maximum upload speed,Peak average upload speed,Peak minimum upload speed,Peak maximum upload speed,24 DNS Failure rate,Peak DNS Failure rate,24 DNS Rate,Peak DNS Rate,24 Jitter upstream,Peak jitter upstream,24 Jitter Downstream,Peak jitter downstream,24 hr latency,Peak latency,24hr packet loss,Peak packet loss,24 hr web loading,Peak web loading,Disconnections,24 YouTube % UHD,24 YouTube % HD,24 YouTube % SD,24 Youtube % Failure,24 Youtube start up delay,Peak YouTube % UHD,Peak YouTube % HD,Peak YouTube % SD,Peak Youtube % Failure,Peak Youtube start up delay,24 Netflix % UHD,24 Netflix % HD,24 Netflix % SD,24 Netflix % Failure,24 Netflix start up delay,Peak Netflix % UHD,Peak Netflix % HD,Peak Netflix % SD,Peak Netflix % Failure,Peak Netflix start up delay
1322,Plusnet 76x20,South East,England,Urban,600 to 699m,FTTC,72.69,67.27,74.3,71.41,67.61,73.72,17.95,15.91,18.57,18.02,9.53,18.58,0.07%,0.00%,6.78,6.86,0.25,0.25,0.43,0.66,6.25,6.49,0.00%,0.00%,154.91,159.92,0,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,483.91,100.00%,0.00%,0.00%,0.00%,489.85
1338,Virgin 100x6,West Midlands,England,Urban,300 to 399m,Cable,89.61,83.65,91.24,90.56,85.97,91.87,5.87,5.67,5.93,5.94,4.96,6.08,0.02%,0.04%,14.97,15.11,1.93,2.27,0.32,0.34,17.49,16.78,0.02%,0.02%,318.19,348.36,0.08,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,660.62,100.00%,0.00%,0.00%,0.00%,696.38
1366,Sky 17,North West,England,Urban,500 to 599m,ADSL,18.56,17.62,18.75,18.42,17.67,18.73,1.06,1.02,1.09,1.06,0.95,1.09,0.02%,0.07%,8.85,8.75,0.54,0.58,0.36,0.4,10.51,10.62,0.02%,0.02%,366.68,378.13,0.07,,,,,,,,,,,95.80%,4.20%,0.00%,0.00%,1910.54,93.07%,6.93%,0.00%,0.00%,1921.87
1381,Other 76,South East,England,Rural,500 to 599m,FTTC,71.47,61.84,74.2,70.55,64.3,74.06,18.21,15.67,18.58,18.22,8.91,18.59,0.03%,0.16%,13.99,14.03,0.38,0.31,0.47,0.48,8.24,8.39,0.03%,0.07%,116,116.55,0.04,,,,,,,,,,,99.66%,0.34%,0.00%,0.00%,611.7,100.00%,0.00%,0.00%,0.00%,638.93
1384,Plusnet 17,Yorkshire & Humberside,England,Urban,700 to 799m,ADSL,10.63,10.26,11.39,10.63,10.54,10.88,0.94,0.9,0.99,0.93,0.42,1,0.36%,0.00%,57.32,57.31,1.21,1.22,1.12,1.12,14.57,14.71,0.39%,0.16%,399.53,400.21,1.11,,,,,,,,,,,0.00%,97.92%,0.00%,2.08%,2357.48,,,,,
1407,Sky 38,Scotland,Scotland,Urban,2800 to 2899m,FTTC,36.36,31.11,37.34,35.85,30.92,37.2,6.39,6.27,6.43,6.39,6.21,6.45,0.00%,0.00%,15.74,15.66,0.27,0.28,0.26,0.32,14.7,14.77,0.01%,0.01%,219.69,221.01,0.27,,,,,,,,,,,98.80%,1.20%,0.00%,0.00%,944.15,98.33%,1.67%,0.00%,0.00%,928.14
1408,BT 38,East,England,Urban,2300 to 2399m,FTTC,33.71,30.54,34.48,33.89,31.98,34.44,8.26,8.03,8.29,8.26,7.96,8.42,0.00%,0.00%,24.53,24.55,0.37,0.38,0.53,0.62,24,23.97,0.02%,0.09%,251.22,251.75,0.11,,,,,,,,,,,99.40%,0.30%,0.30%,0.00%,1289.79,99.17%,0.00%,0.83%,0.00%,1326.61
1428,BT 20,Wales,Wales,Urban,300 to 399m,ADSL,12.97,10.82,13.31,12.98,12.08,13.28,0.71,0.64,0.73,0.71,0.52,0.76,0.03%,0.00%,28.33,28.09,0.72,1,0.59,0.92,20.76,21.22,0.12%,0.09%,379.6,394.75,0.29,,,,,,,,,,,0.00%,100.00%,0.00%,0.00%,1256.89,0.00%,100.00%,0.00%,0.00%,1340.59
1448,Plusnet 38x10,Northern Ireland,Northern Ireland,Rural,1100 to 1199m,FTTC,24.2,23.35,24.33,24.27,24.01,24.33,3.44,3.26,3.46,3.44,3.06,3.51,0.04%,0.07%,26.06,26.01,0.39,0.38,0.34,0.37,20.38,20.51,0.03%,0.14%,260.88,260.9,0.04,,,,,,,,,,,98.80%,1.20%,0.00%,0.00%,1619.36,,,,,
1454,Virgin 100x6,South East,England,Urban,600 to 699m,Cable,85.81,78.15,89.31,84.64,81.1,87.72,6,5.89,6.08,5.99,5.84,6.08,0.01%,0.00%,15.45,15.63,2.43,2.98,0.37,0.42,16.55,15.29,0.05%,0.01%,325.5,331.85,0.18,,,,,,,,,,,99.70%,0.30%,0.00%,0.00%,948.78,99.17%,0.83%,0.00%,0.00%,1077.09
1456,Other 20,Yorkshire & Humberside,England,Urban,1800 to 1899m,ADSL,16.88,15.34,17.27,16.5,14.23,17.25,0.82,0.72,0.87,0.8,0.64,0.86,0.00%,0.00%,14.36,14.62,1.22,1.22,0.59,0.84,15.2,15.64,0.18%,0.09%,412.47,432.55,1.4,,,,,,,,,,,75.00%,25.00%,0.00%,0.00%,1829.52,,,,,
1460,Plusnet 76x20,Scotland,Scotland,Rural,3300 to 3399m,FTTC,51.98,48.27,54.29,51.56,49.04,53.61,9.5,8.92,10.2,9.41,8.72,10.4,0.00%,0.00%,20.98,21.04,0.36,0.31,0.21,0.22,19.36,19.43,0.02%,0.03%,324.43,319.92,0,,,,,,,,,,,72.73%,27.27%,0.00%,0.00%,1973.61,77.78%,22.22%,0.00%,0.00%,2076.35
1463,BT 76,Northern Ireland,Northern Ireland,Urban,3100 to 3199m,FTTC,67.53,61.53,68.17,67.21,61.55,68.17,14.28,13.99,14.39,14.29,14.11,14.48,0.00%,0.00%,16.75,16.8,0.2,0.2,0.39,0.39,17.38,17.47,0.05%,0.01%,177.68,175.51,0.07,,,,,,,,,,,99.55%,0.45%,0.00%,0.00%,534.51,100.00%,0.00%,0.00%,0.00%,503.44
1465,BT 52,West Midlands,England,Rural,2600 to 2699m,FTTC,47.46,40.5,48.55,46.68,40.49,48.52,9.21,9.11,9.24,9.21,8.95,9.33,0.00%,0.00%,10.39,10.47,0.22,0.22,0.23,0.27,9.71,9.69,0.01%,0.00%,126.04,127.89,0,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,759.39,100.00%,0.00%,0.00%,0.00%,778.36
1479,Sky 38,East,England,Rural,3100 to 3199m,FTTC,37.15,35.16,37.37,37.18,35.95,37.36,9.22,8.49,9.35,9.26,7.12,9.36,0.21%,0.00%,14.92,14.79,0.26,0.25,0.37,0.41,10.78,10.91,0.19%,0.45%,181.34,188.77,0.54,,,,,,,,,,,99.38%,0.62%,0.00%,0.00%,935.93,99.11%,0.89%,0.00%,0.00%,953.58
