Note:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data are presented in a raw, basic format and once processed, they are used to generate Ofcom’s UK and ISP comparative fixed-line broadband performance analysis. To calculate the figures in the report, additional weighting and distance normalisation are applied to the data, and the complex nature of this means that care should be taken when attempting to replicate the published report. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Distance band,Distance band used for weighting,Urban/rural,Market,ISP,Technology,Headline speed,Download speed (Mbit/s) 24 hrs,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,isp weights,nat weights, , , , , , , , 
1302,2563-5000,1992-5000,Urban,3,Virgin,Cable,60,45.14,62.67,26.33,3.04,3,3.04,21.89,0,24.03,0.01,1.91,0.42,2.4,1.06,21.72,0,23.95,0,344.95,393.52,1,0.06,,,,,,,,
1308,0-385,,Urban,3,BT,FTTx,80,57.96,59.19,56.43,18.87,19,18.86,24.31,0,24.55,0,0.25,0.28,0.24,0.42,23.61,0,23.66,0,334.44,336.04,1,0,,,,,,,,
1310,0-385,,Urban,2,BT,FTTx,40,35.73,38.53,33.65,10.39,11,10.39,7.23,0,8.53,0,0.29,0.4,0.42,0.81,4.6,0,5.45,0.01,141.52,244.73,1,0.02,,,,,,,,
1318,1367-1635,1321-2104,Urban,3,TalkTalk,LLU,20,8.9,10.21,8.9,0.81,1,0.8,33.83,0,35.35,0,0.87,1.35,1.04,3.21,36.52,0,39.46,0,1176.34,1696.53,1.55,0.15,,,,,,,,
1319,1992-2563,,Urban,3,Sky,LLU,20,4.51,5.18,4.48,1.09,1,1.07,13.27,0,13,0,0.54,0.66,0.55,0.63,13.28,0,13.27,0,1520.36,1568.43,2.18,0.36,,,,,,,,
1321,763-946,,Urban,3,BT,FTTx,40,33.55,34.96,32.69,5.91,6,5.89,14.4,0,14.6,0,0.37,0.32,0.37,0.43,14.01,0,13.9,0,230.78,219.09,1,0.06,,,,,,,,
1322,582-763,,Urban,2,Sky,FTTx,40,37.31,37.85,36.88,9.6,10,9.59,11.17,0,11.03,0,0.35,0.25,0.34,0.37,6.19,0,6.33,0,216.25,165.91,1,0.01,,,,,,,,
1323,385-582,,Urban,3,BT,FTTx,80,54.91,61.21,52.34,12.44,13,12.38,8.04,0,8.85,0,0.28,0.39,0.27,0.47,7.07,0,7.98,0,178.42,211.61,1,0.04,,,,,,,,
1325,1367-1635,,Rural,2,Plusnet,FTTx,40,18.42,20.17,18.21,6.69,7,6.7,21.62,0,21.6,0.04,0.41,0.44,0.41,0.66,20.53,0,20.36,0,360.52,386.26,1,0,,,,,,,,
1329,582-763,582-946,Urban,3,Virgin,Cable,60,58.83,62.67,55.69,3.02,3,3.03,12.67,0,13.43,0,1.79,0.27,3.16,0.32,15.4,0,16.3,0,291.06,290.04,1,0.02,,,,,,,,
1333,582-763,,Urban,3,Plusnet,DSL,20,13.91,14.27,13.88,0.76,1,0.76,34.17,0,34.78,0.01,0.76,0.54,0.63,0.52,32.83,0,33.08,0,555.93,563.92,0.99,0,,,,,,,,
1335,1367-1635,,Urban,3,Plusnet,FTTx,40,36.16,37.4,35.08,9.68,10,9.66,16.02,0,16.26,0.02,0.79,0.25,0.48,0.36,14.18,0,14.08,0,242.67,247.9,1,0,,,,,,,,
1338,0-385,,Urban,3,Virgin,Cable,50,54.12,54.81,54.03,3.11,3,3.11,14.03,0,15.83,0.01,3.39,0.24,5.37,0.35,13.09,0,15.03,0,221.76,284.95,1,0.02,,,,,,,,
1342,0-385,,,0,BT,FTTx,80,68.01,71.23,67.25,18.65,20,18.55,17.82,0,17.96,0,0.25,0.31,0.22,0.32,17,0,17.21,0,255.26,275.02,1,0,,,,,,,,
1343,1143-1367,,Rural,1,Sky,DSL,20,20.36,20.68,20.43,1.11,1,1.1,16.12,0.01,14.43,0,0.53,0.41,0.53,0.46,10.56,0,10.64,0,1883.33,1232.11,0,0.08,,,,,,,,
1344,385-582,,Urban,3,Sky,FTTx,40,37.56,37.96,37.48,9.73,10,9.73,12.97,0,12.67,0,,,,,,,,,,,1,0.02,,,,,,,,
1349,1367-1635,1367-1992,Urban,3,Virgin,Cable,60,61.7,62.67,59.72,2.92,3,2.72,9.91,0,13.3,0.01,1.5,0.23,2.34,0.33,9.16,0,9.91,0,217.56,290.94,1,0.04,,,,,,,,
1352,385-582,,Urban,3,Sky,LLU,20,13.72,13.88,13.74,1.11,1,1.12,28.48,0,27.66,0,0.78,0.47,0.77,0.46,25.3,0,25.37,0,1508.39,,0.7,0.11,,,,,,,,
1354,763-946,,Urban,3,Sky,LLU,20,9.31,9.85,9.36,0.87,1,0.86,,,,,0.54,0.43,0.58,0.49,19.46,0,19.49,0,,,0.87,0.19,,,,,,,,
1359,2563-5000,,Urban,2,Plusnet,FTTx,40,36.05,36.81,35.94,9.68,10,9.7,16.89,0,17.55,0.02,0.45,0.65,0.6,0.89,16.03,0,16.14,0,280.34,314.97,1,0,,,,,,,,
1360,1992-2563,,Rural,3,O2,LLU,20,6.28,7.02,6.29,0.84,1,0.84,43.25,0,42.55,0,0.58,0.41,0.54,0.42,36.77,0,36.4,0,2002.09,1494.48,1.1,0.27,,,,,,,,
1362,1367-1635,,Rural,1,BT,DSL,8,2.97,3.76,2.89,0.38,0,0.39,34.46,0,33.88,0,0.93,0.53,1.05,0.6,32.56,0,33.69,0,2142.97,2644.31,0,0.03,,,,,,,,
1365,2563-5000,,Urban,3,TalkTalk,FTTx,40,32.78,37.14,32.72,1.91,2,1.91,30.03,0,30.7,0,0.47,0.37,0.49,0.42,19.99,0,20.09,0,307.55,310.78,1,0.18,,,,,,,,
1366,0-385,,Urban,3,Sky,LLU,20,18.94,19.43,18.97,1.11,1,1.12,13.08,0,11.46,0,0.49,0.48,0.48,0.51,12.32,0,12.36,0,1955.21,1968.5,0.7,0.11,,,,,,,,
1369,1143-1367,,Urban,2,Sky,LLU,20,11.15,12.07,11.09,1.08,1,1.08,12.11,0,12.24,0,0.46,0.39,0.5,0.66,8.65,0,8.8,0,1301.36,1208,0.95,0.12,,,,,,,,
1375,2563-5000,,Rural,3,BT,FTTx,40,22.92,23.39,23.02,1.86,2,1.88,33.72,0,33.73,0,0.31,0.26,0.31,0.26,32.99,0,32.99,0,499.25,541.08,1,0.21,,,,,,,,
1377,1367-1635,,Urban,3,Sky,FTTx,40,29.96,37.95,28.1,8.32,10,7.68,17.53,0,20.57,0,3.47,1.08,7.44,1.19,20.04,0,23.94,0,548.38,963.59,1,0,,,,,,,,
1381,1992-2563,,Urban,3,BT,FTTx,80,57.89,59.32,58.11,16.4,18,16.32,21.91,0,22.96,0,1.83,0.92,1.95,0.89,20.99,0,20.94,0,427.71,472.52,1,0,,,,,,,,
1384,582-763,,Urban,3,Plusnet,DSL,20,16.2,17.34,16.17,0.36,0,0.36,18.06,0,18.8,0.01,0.8,0.42,0.87,0.55,17.47,0,17.62,0,645.1,669.77,0.99,0,,,,,,,,
