unit_id,Ofcom product,Region,Country,Urban Rural,Distance from Exchange,Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
2503,Sky 76,Northern Ireland,Northern Ireland,Urban,0 to 100m,FTTC,B,74.4655443,70.75510297,74.7355311,74.053556,72.5878011,73.87000414,18.65671645,18.56613136,18.68307071,18.64505257,18.498392,18.703904,0,0,10.13602159,10.06947896,0.19032923,0.18876923,0.17289538,0.19506667,18.33956389,18.36668852,4.00E-04,0,189.844874,188.1392571,0.0968,,,,,,,,,,,1,0,0,0,690.9271071,1,0,0,0,917.0250625,,,,,,,,,,
80262,Sky 76,Northern Ireland,Northern Ireland,Urban,0 to 100m,FTTC,B,56.77070575,47.98624533,59.026461,57.64349036,54.66910367,57.09399,17.18369908,15.69324467,17.26505567,17.72175945,1.577392,18.7184,0,0,21.14935457,19.21248201,0.72874609,0.737,0.92686328,0.95436364,24.62857699,25.10225532,6.00E-04,1.00E-04,312.1897946,325.5831778,0.1667,0.0417,0.8333,0.125,0,3498.758595,0.0488,0.8049,0.1463,0,1012.02239,0.9416,0.0584,0,0,1347.470759,0.9545,0.0455,0,0,1602.613889,0,0.9414,0.0586,0,1973.098566,0,0.9535,0.0465,0,1774.430246
141342,BT 52,Scotland,Scotland,Rural,0 to 100m,FTTC,A,49.51751098,47.17761161,49.9125089,49.11112041,47.54537806,49.48353136,9.281002414,9.257240258,9.284563097,9.282662322,9.253432,9.285048,0.0011,0,21.67966907,21.91699105,0.20997534,0.2051,0.22378904,0.25363333,21.10552675,21.11155172,3.00E-04,1.00E-04,205.7351193,204.2281,0.0968,0.0556,0.8222,0.1222,0,1041.652956,,,,,,1,0,0,0,820.7681075,,,,,,0,1,0,0,725.527957,,,,,
172408,BT 38,South West,England,Rural,0 to 100m,FTTC,B,34.54267638,30.90155106,36.00890541,33.76713575,32.36443059,34.94603388,9.097365106,8.514837177,9.209538353,9.099626353,8.440184,9.20876,0,0,17.95635258,18.45881762,0.41388945,0.393875,0.51444724,0.93005882,9.95233584,10.1450303,3.00E-04,6.00E-04,177.8265754,200.626625,0.0588,0.0632,0.8526,0.0842,0,997.1985842,0.0645,0.871,0.0645,0,954.2580968,0.9901,0.0099,0,0,1033.078215,0.9697,0.0303,0,0,1161.825382,0,1,0,0,1067.478286,0,1,0,0,1159.316394
184424,Virgin 200,South East,England,Urban,0 to 100m,Cable,B,218.1565813,212.3525517,219.4557218,217.7890263,217.3890769,218.5526537,12.00118813,11.82327794,12.07954864,11.97421579,11.475632,12.071776,2.00E-04,0,10.04008853,10.37669444,1.61498175,1.92856522,0.12129927,0.14656522,17.05265303,17.39214286,7.00E-04,3.00E-04,189.4317551,187.4861143,0.0968,0.0352,0.8398,0.125,0,541.3825703,0,0.8889,0.1111,0,515.2580278,1,0,0,0,364.8740038,1,0,0,0,530.8861892,0,1,0,0,476.7172759,0,1,0,0,501.4234103
249952,BT 52,Northern Ireland,Northern Ireland,Urban,0 to 100m,FTTC,B,38.62447369,35.72527484,39.23979664,37.97567827,36.81966426,38.37130606,7.081345863,6.913840774,7.099239484,7.066190951,6.757528,7.114408,9.00E-04,0,18.63628073,18.81011908,0.24629558,0.24237037,0.49601934,0.54975,17.87549036,18.22215789,2.00E-04,0,187.4527901,192.1137167,0.0645,0.0444,0.8111,0.1444,0,948.5274917,0.0333,0.8,0.1667,0,903.0353333,1,0,0,0,967.14571,1,0,0,0,1010.468393,0,1,0,0,689.7838172,0,1,0,0,730.454129
249994,EE 38,London,England,Rural,0 to 100m,FTTC,B,24.70689906,23.20866219,24.90618787,24.60232073,24.41458632,24.80342374,6.301376886,5.889496258,6.361099355,6.299139636,5.719632,6.452376,2.00E-04,0,9.02720241,8.76147643,0.43715436,0.42365217,0.60194295,0.72836,8.42937171,8.57257895,3.00E-04,4.00E-04,567.32089,726.0165208,0.0323,0.0486,0.7917,0.1597,0,980.6984826,0.0667,0.7778,0.1556,0,1014.8806,0.9901,0.0099,0,0,1884.369625,0.9623,0.0377,0,0,2159.165053,0,1,0,0,2061.317888,0,1,0,0,2676.9625
397664,BT 76,East,England,Urban,0 to 100m,FTTC,B,72.06520459,64.0538111,73.60150839,72.06604206,71.15215664,72.97992748,20.58390628,19.16923613,20.85385394,20.59914557,16.16976,21.040824,9.00E-04,0,6.97875423,7.07571977,1.71339944,0.79464516,0.79593017,0.9008,8.06708916,7.0698,0.008,0.0058,82.70488366,81.51340323,6.6129,0.0451,0.8085,0.1465,0,525.6955606,0.0333,0.8,0.1667,0,492.31295,1,0,0,0,480.8178514,1,0,0,0,473.4255807,0,1,0,0,529.1014824,0,1,0,0,520.146
455636,Plusnet 17,Scotland,Scotland,Rural,0 to 100m,ADSL,B,19.01174063,17.71372645,19.27275123,18.78268275,18.49284284,19.11002787,1.057816671,1.018056258,1.073732387,1.0487512,0.956152,1.078264,1.00E-04,7.00E-04,21.96077561,21.86861146,0.48394429,0.44834615,0.2919,0.3219,19.87355448,19.93328333,3.00E-04,1.00E-04,279.8896028,284.4905902,0.0968,0.0455,0.8068,0.1477,0,973.6767273,0.0345,0.7931,0.1724,0,923.3126897,0.978,0.022,0,0,1824.958054,1,0,0,0,1881.133,0,1,0,0,916.4861648,0,1,0,0,968.6669355
656642,BT 330,East,England,Rural,0 to 100m,FTTH,B,307.861579,305.3884181,308.1989133,307.7525036,306.901407,307.8975421,49.20159436,48.73836155,49.23762736,49.21267847,49.052056,49.24084,0,0,6.94851932,6.98594789,0.18946909,0.21121053,0.04094909,0.03935,5.34675526,5.3533,2.00E-04,0,60.72089907,60.08967568,0.0323,0.0458,0.8473,0.1069,0,528.591813,0,0.881,0.119,0,477.2778571,1,0,0,0,214.7412288,1,0,0,0,289.4431667,0,1,0,0,314.973711,0,1,0,0,319.5188537
660116,Sky 17,London,England,Rural,0 to 100m,ADSL,B,16.6776642,14.86003845,16.79834994,16.64966213,16.54013058,16.78447252,1.05608529,0.951744516,1.073232516,1.058181639,0.679976,1.076144,0,0,4.55103461,4.52963093,0.70226648,0.85993103,0.35977961,0.40296667,5.52307252,5.53116129,5.00E-04,3.00E-04,410.4447648,363.4648167,0.0968,0.039,0.8134,0.1476,0,960.4255543,0.0333,0.8,0.1667,0,922.3489833,0.9703,0.0297,0,0,2090.398077,0.9839,0.0161,0,0,2187.485349,0,1,0,0,911.3746578,0,1,0,0,1037.82294
800328,Sky 76,East,England,Urban,0 to 100m,FTTC,B,60.46321855,59.852568,60.70757103,60.34940991,60.31070015,60.50661274,18.64904416,18.49865572,18.71523697,18.63530109,18.43092,18.750656,0,0,6.76406348,6.65636172,0.19322945,0.18928571,0.28818493,0.2945,6.29419847,6.33034,1.00E-04,0,118.4746571,107.7889756,0.0645,0.0279,0.814,0.1581,0,561.4585861,0,0.8571,0.1429,0,533.7193714,1,0,0,0,974.1789419,1,0,0,0,1260.021293,0,1,0,0,546.2354686,0,1,0,0,527.3655714
812396,Sky 76,East,England,Urban,0 to 100m,FTTC,B,72.45700647,65.65089342,74.04622916,71.61334194,70.50659045,72.72009342,18.65075386,18.53866632,18.70409832,18.6470004,18.414616,18.729144,0,0,8.32477133,8.20356692,0.26422404,0.26203333,0.25669041,0.28583871,20.02219452,19.99504918,8.00E-04,1.00E-04,187.9461264,192.6131613,0.0968,0.0448,0.8095,0.1457,0,1112.26272,0.0339,0.7966,0.1695,0,1057.436644,0.9973,0.0027,0,0,918.4043414,1,0,0,0,1172.463452,0,1,0,0,731.235283,0,1,0,0,744.6802419
813547,Plusnet 38,Northern Ireland,Northern Ireland,Rural,0 to 100m,FTTC,B,32.36421626,30.95111458,32.52638039,32.21326955,31.97301523,32.45352387,6.486043573,6.41569471,6.510256516,6.489250838,6.425848,6.53524,1.00E-04,7.00E-04,21.50521362,21.48781259,0.36592818,0.36645161,0.44564365,0.45723333,20.48114521,20.41535,1.00E-04,2.00E-04,209.0541474,210.288623,0,0.0446,0.8106,0.1448,0,961.2721365,0.0333,0.8,0.1667,0,937.2405833,1,0,0,0,1129.219568,1,0,0,0,1240.032393,0,1,0,0,768.7732043,0,1,0,0,773.6631452
814783,BT 76,South West,England,Urban,0 to 100m,FTTC,B,72.74171294,64.72990142,73.7722431,71.91704761,70.98921652,72.84487871,20.64946985,18.90826245,20.81355303,20.51700826,14.563464,20.813072,1.00E-04,0,7.87673933,7.94169917,0.25950829,0.37726667,0.06399448,0.09406667,6.12163374,6.25514754,3.00E-04,0,88.71101376,88.97743333,0.129,0.0444,0.8111,0.1444,0,898.3818444,0.0333,0.8,0.1667,0,850.9748833,1,0,0,0,531.625841,1,0,0,0,581.9580807,0,1,0,0,478.7301747,0,1,0,0,492.2193065
815407,EE 76,East Midlands,England,Rural,0 to 100m,FTTC,B,73.30422848,69.19475045,74.35358864,72.71215628,71.64326168,73.30048258,18.52132253,18.35091639,18.57881729,18.51039571,18.204904,18.577104,3.00E-04,0.0018,14.68424134,14.74993525,0.24504816,0.24655172,0.495,0.3485,9.97868724,9.99655,5.00E-04,3.00E-04,335.4518984,298.4685636,0.0323,0.0409,0.8129,0.1462,0,966.1351111,0.0185,0.8148,0.1667,0,906.5345926,1,0,0,0,1291.535686,1,0,0,0,1248.059121,0,1,0,0,1177.00491,0,1,0,0,1183.654684
