unit_id,ISP,PACKAGE,hspeed,Region,Distancefromexchange,Technology,Exchange,MarketClass,MarketClassification,County,Geography,Country,datafile, t24hr , tmin , max , t_pk , DLpeakmin , DLpeakmax , httppost24hr , httppostmin , httppostmax , httppostpk , ULpeakmin , ULpeakmax , dns_24_fail_rate , dns_pk_fail_rate , dns_24hrs , dns_pk , jitter_24hrs_up , jitter_pk_up_w , jitter_24hrs_down , jitter_pk_downw , latencyloss24 , latencypk , latencyfail_rate24 , latencyfailratepk , webget24 , webgetPK , Disconnections , YouTubeUHD24hr , YouTubeHD24hr , YouTubeSD24hr , YouTubeFailed24hr , YouTubeStartupDelay24hr , YouTubeUHDPeak , YouTubeHDPeak , YouTubeSDPeak , YouTubeFailedPeak , YouTubeStartupDelayPeak , NetflixUHD24hr , NetflixHD24hr , NetflixSD24hr , NetflixFailed24hr , NetflixStartupDelay24hr , NetflixUHDPeak , NetflixHDPeak , NetflixSDPeak , NetflixFailedPeak , NetflixStartupDelayPeak , iPlayerUHD24hr , iPlayerHD24hr , iPlayerSD24hr , iPlayerFailed24hr , iPlayerStartupDelay24hr , iPlayerUHDPeak , iPlayerHDPeak , iPlayerSDPeak , iPlayerFailedPeak , iPlayerStartupDelayPeak , pack , T00000600 , T06001200 , T12001800 , T18001900 , T19002000 , T20002100 , T21002200 , T22002300 , T23000000 , T00000600MonFri , T18000000MonFri ,MAX_MAX_ATTAIN_DS,isp_wghts,weightNat,
1322,Plusnet,Plusnet 76x20,76,South East,695.16,FTTC,SMPRB,2,695.16,0,Semi-urban,England,ofcom,73.738373,70.051685,74.299095,73.307268,71.307753,74.293753,18.528199,18.321346,18.577466,18.510302,17.951632,18.594848, -   , -   ,7.105181,7.10691,0.259863,0.262781,0.303422,0.361077,6.248339,6.327241, -   , -   ,114.868,107.0892, -   ,,,,,,,,,,,1, -   , -   , -   ,511.904347,1, -   , -   , -   ,509.490015,,,,,,,,,,, Plusnet 76 ,74.26,74.03,73.91,73.49,72.74,72.86,73.3,73.94,74.13,74.26,73.43,95,1.1772727,,
1323,BT,BT 76,76,London,494.43,FTTC,LSGIP,3,494.43,0,Urban,England,ofcom,53.956542,46.633162,55.767253,54.292911,47.682993,54.694753,9.087491,8.496025,9.328294,9.051583,6.258776,9.341104,0.0084, -   ,6.429601,6.929752,4.460393,4.495773,0.358409,0.405628,5.544239,5.855734,0.001, -   ,716.3533,694.40814,0.8696,,,,,,,,,,,0.9916,0.0084, -   , -   ,712.667816,1, -   , -   , -   ,731.130154,,,,,,,,,,, BT 76 ,55.61,54.91,53.23,54.11,52.14,54.69,51.91,52.46,53.46,55.58,53.99,73,0.2878049,0.9904884,
1333,Plusnet,Plusnet 17,17,West Midlands,689.45,ADSL,CMNUN,3,689.45,0,Urban,England,ofcom,14.835077,14.411622,14.960911,14.882477,14.536844,14.951558,0.739531,0.707906,0.752533,0.738024,0.644504,0.752488,0.0013,0.0019,36.366288,36.455185,0.715774,0.672409,0.813557,0.787182,34.560731,34.602071,0.0001,0.0001,430.08736,429.68918, -   ,,,,,,,,,,,0.0357,0.9643, -   , -   ,"1,231.86", -   ,1, -   , -   ,"1,200.62",,,,,,,,,,, Plusnet 17 ,14.9,14.85,14.86,14.88,14.83,14.72,14.87,14.71,14.9,14.9,14.84, ,0.9333333,0.3603303,
1338,Virgin,Virgin 70x5,70,West Midlands,337.38,Cable,CMBNW,3,337.38,0,Urban,England,ofcom,76.365239,72.147218,76.786365,76.19571,73.481439,76.766867,4.978856,4.835019,5.002807,4.96937,4.772264,5.00528,0.0002, -   ,13.945102,14.001924,1.200197,1.4565,0.305799,0.370545,15.904631,15.149035,0.0006,0.0029,319.02532,332.98607,0.1364,,,,,,,,,,,0.9961,0.0039, -   , -   ,837.815392,0.9889,0.0111, -   , -   ,964.767385,,,,,,,,,,, Virgin 70 ,76.78,76.49,76,76.4,75.73,76.03,76.35,76.52,76.75,76.78,76.38, ,,0.3992088,
1345,Vodafone UK,Vodafone UK Superfast Fibre + (76),76,North West,"2,451.59",FTTC,LCKLE,1,"2,451.59",0,Rural,England,ofcom,67.339189,67.183372,67.376416,67.327495,67.251522,67.366368,17.867767,17.830676,17.890821,17.868224,17.80064,17.915664,0.0006,0.0013,29.092492,29.20439,0.299065,0.295383,0.372698,0.377277,22.157143,22.205396,0.001,0.0006,219.51006,218.56392,0.2273,,,,,,,,,,,0.9923,0.0077, -   , -   ,978.915536,0.9896,0.0104, -   , -   ,"1,235.77",,,,,,,,,,, Vodafone UK 76 ,67.34,67.33,67.34,67.32,67.35,67.34,67.33,67.35,67.35,67.34,67.34, ,,,
1360,Sky,Sky 17,17,North West,"2,310.00",ADSL,LCCHO,3,"2,310.00",0,Rural,England,ukindustry,6.005234,5.361165,6.080126,6.04384,5.649551,6.074623,0.70867,0.644206,0.748766,0.705671,0.596304,0.76564,0.0003, -   ,28.540253,28.497986,0.821208,0.801422,0.438905,0.391344,38.365827,38.184117,0.0003,0.0006,906.91072,888.30816,0.0333,,,,,,,,,,, -   ,1, -   , -   ,"2,380.05", -   ,1, -   , -   ,"2,396.87",,,,,,,,,,, Sky 17 ,6.05,5.99,5.95,5.91,5.99,5.99,6.05,6.06,6.06,6.04,6.03, ,1.08,0.6607327,
1365,TalkTalk,TalkTalk 38x10,38,South West,"4,012.36",FTTC,WWCRWN,3,"4,012.36",0,Urban,England,ukindustry,37.079866,35.975449,37.314378,36.972152,36.297051,37.315409,9.355072,9.265861,9.430042,9.360014,9.224096,9.453776, -   , -   ,4.870018,4.894378,0.289741,0.283655,0.284898,0.320516,13.214733,13.220613,0.0002,0.0003,295.58161,294.16138,0.1,,,,,,,,,,,0.9914,0.0086, -   , -   ,994.612494,0.9762,0.0238, -   , -   ,"1,120.95",,,,,,,,,,, TalkTalk 38 ,37.09,37.03,37.11,37.09,37.09,36.96,37.06,37.12,37.16,37.08,37.04, ,,,
1366,Sky,Sky 17,17,North West,523,ADSL,MRLON,3,523,0,Urban,England,ofcom,18.52756,18.389997,18.564229,18.519021,18.32868,18.566581,1.063568,1.026106,1.083563,1.067266,1.054136,1.086576, -   , -   ,9.046217,8.772373,0.51625,0.524875,0.331423,0.333875,10.674692,10.733294, -   ,0.0001,398.34282,317.51524, -   ,,,,,,,,,,,0.9756,0.0244, -   , -   ,"2,174.60",0.9412,0.0588, -   , -   ,"2,456.65",,,,,,,,,,, Sky 17 ,18.55,18.55,18.51,18.49,,,,,,18.54,18.51, ,0.7105263,0.8800203,
1375,BT,BT 38,38,Yorkshire & Humberside,"3,639.72",FTTC,MYCAL,3,"3,639.72",0,Urban,England,ofcom,23.143259,22.170964,23.217897,23.164576,22.169894,23.206357,1.832799,1.763131,1.838008,1.832213,1.685288,1.838072, -   , -   ,19.426502,19.802315,0.430773,0.431824,0.274589,0.33394,12.011574,12.205582,0.0008,0.0013,206.61632,204.93421,1.3333,,,,,,,,,,,0.9841,0.0159, -   , -   ,"1,504.80",0.9818,0.0182, -   , -   ,"1,527.65",,,,,,,,,,, BT 17 ,23.2,23.14,23.15,23.19,23.09,23.16,23.15,23.11,23.03,23.2,23.11,30,1,,
1381,Zen,Zen 76,76,South East,590.53,FTTC,SDSTRRN,2,590.53,0,Rural,England,ofcom,72.583988,64.491643,74.353026,71.615779,65.448484,74.265393,18.455152,17.905181,18.581012,18.423136,17.067816,18.592264,0.0011,0.0003,13.487898,13.426115,0.361246,0.335063,0.438234,0.416422,8.119397,8.165229,0.0011,0.0035,111.49962,114.61486,0.2667,,,,,,,,,,,0.9972,0.0028, -   , -   ,629.810398,0.9921,0.0079, -   , -   ,762.620094,,,,,,,,,,, Zen 76 ,74.09,72.91,72.28,71.61,71.89,72.18,71.35,72.95,72.4,74.04,71.99, ,,0.3128029,
1384,Plusnet,Plusnet 17,17,Yorkshire & Humberside,740.52,ADSL,SLMEX,3,740.52,0,Semi-urban,England,ofcom,12.015022,10.433346,12.58709,12.490702,11.893468,12.81146,0.82063,0.740187,0.880845,0.849781,0.31508,1.004328,0.0013,0.0007,70.099552,71.668554,1.464481,1.467891,1.119672,1.143984,25.905483,26.284095,0.005,0.0038,472.45825,448.49316,2.1,,,,,,,,,,, -   ,1, -   , -   ,"1,747.59",,,,,,,,,,,,,,,, Plusnet 17 ,11.98,11.62,12.11,12.15,12.27,12.11,12.12,11.85,11.9,12.17,12.42, ,0.9333333,,
1404,Sky,Sky 76,76,Northern Ireland,"1,194.97",FTTC,NIHW,2,"1,194.97",0,Semi-urban,Northern Ireland,ofcom,66.771308,51.946359,72.40385,63.089636,53.316062,71.080475,18.572764,18.100776,18.680587,18.540503,17.490888,18.675336,0.0003, -   ,13.849309,13.928807,0.242677,0.225204,0.379235,0.490094,15.927431,16.05767,0.0002,0.0003,169.83634,181.33108, -   ,,,,,,,,,,,0.9959,0.0041, -   , -   ,583.329629,1, -   , -   , -   ,601.939518,,,,,,,,,,, Sky 76 ,68.96,69.89,69.28,64.34,61.87,63.84,63.16,65.74,66.2,68.88,63.9,85,0.2779661,,
1407,Sky,Sky 38,38,Scotland,"2,844.13",FTTC,ESKIR,3,"2,844.13",0,Urban,Scotland,ofcom,36.43482,32.669981,37.347812,36.237397,33.746435,37.268588,6.974301,6.781945,7.014708,6.979976,6.620224,7.133152,0.0004, -   ,18.174054,18.128594,0.292004,0.300732,0.279174,0.288829,15.015868,15.058855, -   , -   ,217.21529,191.08404,3.5238,,,,,,,,,,,0.9876,0.0083, -   ,0.0041,"1,147.01",0.9881,0.0119, -   , -   ,"1,026.76",,,,,,,,,,, Sky 38 ,36.01,36.8,36.68,36.63,36.24,36.17,36.5,36.94,35.8,36.11,36.44,42,0.7192308,0.8366437,
1428,BT,BT 17,17,Wales,374.77,ADSL,SWCUV,3,374.77,0,Urban,Wales,ofcom,11.863624,11.426372,11.927126,11.927248,11.685191,11.933597,0.766723,0.735977,0.770914,0.764682,0.670712,0.777288,0.0002, -   ,21.635168,22.018638,0.768244,0.803295,0.348103,0.3812,15.142341,15.338843,0.0005,0.0004,393.4713,403.20159,0.2333,,,,,,,,,,, -   ,1, -   , -   ,"1,299.20", -   ,1, -   , -   ,"1,263.09",,,,,,,,,,, BT 17 ,11.85,11.85,11.8,11.83,11.91,11.89,11.93,11.9,11.9,11.85,11.9, ,0.5388889,0.4408316,
1448,Plusnet,Plusnet 38x10,38,Northern Ireland,"1,168.14",FTTC,NIHB,1,"1,168.14",0,Rural,Northern Ireland,ofcom,23.210535,21.330262,23.55552,22.7841,21.681034,23.544667,3.183239,3.071965,3.221577,3.179761,2.63116,4.08564, -   , -   ,26.020632,26.173982,0.45037,0.448355,0.342759,0.462778,20.383942,20.726936,0.0001,0.0001,265.82573,269.88572,0.1333,,,,,,,,,,,1, -   , -   , -   ,"1,547.76",,,,,,,,,,,,,,,, Plusnet 38 ,23.42,23.43,23.21,23.26,23.28,22.92,22.88,23.14,23.35,23.43,23.05,27,0.666,0.1748518,
1456,Post Office,Post Office 20,20,Yorkshire & Humberside,"1,845.32",ADSL,MYPUD,3,"1,845.32",0,Urban,England,ofcom,15.562254,12.40214,16.383093,15.217761,12.381361,16.128297,0.784168,0.576986,0.734825,0.7827,0.021888,0.88488,0.0003,0.0016,19.190077,19.494151,1.501102,1.439,0.582264,0.921882,15.299177,15.56128,0.0023,0.0019,978.99102,946.15167,13.2,,,,,,,,,,,0.6222,0.3778, -   , -   ,"2,241.75",,,,,,,,,,,,,,,, Post Office 20 ,16.34,15.64,15.84,15.94,15.24,15.75,14.97,15.54,14.91,16.76,15.42, ,,0.513611,
1463,BT,BT 76,76,Northern Ireland,"3,127.56",FTTC,NIBML,3,"3,127.56",0,Urban,Northern Ireland,ofcom,65.819743,55.056696,66.857938,66.245746,62.920098,66.849862,13.457902,12.287572,13.66424,13.488769,10.1198,13.854608,0.0001, -   ,17.616542,17.44523,0.425501,0.238045,0.408363,0.391613,18.304255,17.658115,0.0002,0.0007,182.03422,172.17856,0.0333,,,,,,,,,,,0.9944,0.0028,0.0028, -   ,616.625548,1, -   , -   , -   ,513.536489,,,,,,,,,,, BT 76 ,65.89,65.51,65.58,65.9,65.5,66.21,65.89,65.9,66.47,66.79,65.98,79,0.2878049,,
1465,BT,BT 52,52,West Midlands,"2,613.58",FTTC,EMSWADL,3,"2,613.58",0,Rural,England,ofcom,48.327438,46.375446,48.587116,47.954221,47.133043,48.575028,8.564505,8.54328,8.612395,8.577578,8.42744,9.330184, -   , -   ,9.930906,10.073594,0.26878,0.274968,0.192326,0.205032,9.248828,9.319589,0.0001, -   ,121.98758,121.74186,0.0333,,,,,,,,,,,1, -   , -   , -   ,719.962535,1, -   , -   , -   ,727.263833,,,,,,,,,,, BT 52 ,48.51,48.46,48.5,48.4,48.19,48.25,47.77,47.94,48.42,48.49,48.16,57,0.3402985,,
