unit_id,ISP,PACKAGE (download by upload),Region,Distance from exchange - DSL only,Technology,MarketClass,Geography,Country,Download - 24 (ave),Download - 24 min(ave),Download - 24 max (ave),Download - peak (ave),Download - peak min(ave),Download - peak max (ave),Upload - 24 (ave),Upload - 24 min(ave),Upload - 24 max (ave),Upload - peak (ave),Upload - peak min(ave),Upload - peak max (ave),DNS Failure 24hr,DNS Failure peak,DNS Rate - 24h,DNS Rate - peak,Jitter-upstream - 24h,Jitter-upstream - peak,Jitter-downstream - 24h,Jitter-downtream - peak,Latency - 24h,Latency - peak,Packet Loss - 24h,Packet Loss - peak,Web loading - 24h,Web loading - peak,Disconnections,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak,iPlayerUHD24hr,iPlayerHD24hr,iPlayerSD24hr,iPlayerFailed24hr,iPlayerStartupDelay24hr,iPlayerUHDPeak,iPlayerHDPeak,iPlayerSDPeak,iPlayerFailedPeak,iPlayerStartupDelayPeak,Download - 0-6am,Download - 6am-12am,Download - 12-18pm,Download - 18-19pm,Download - 19-20pm,Download - 20-21pm,Download - 21-22pm,Download - 22-23pm,Download - 23pm-00midnight,Mon-Fri Download 0-6am,Mon-Fri Download 6pm-midnight,isp_wghts,Natweight
"1,323",Plusnet,76x20,London,,FTTC,B,Urban,England,68.63,63.32,69.44,68.24,63.92,69.44,10.7,9.47,10.96,10.66,1.96,11.11,0.00%,0.00%,6.93,6.99,0.73,0.67,0.39,0.41,4.68,4.72,0.05%,0.00%,3016.46,3031.51,0.17,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,595.44,100.00%,0.00%,0.00%,0.00%,649.59,,,,,,,,,,,69.4,69.38,68.3,68.26,68.56,67.35,67.73,69.08,68.46,69.43,68.18,0.64,
"1,360",Sky,17,North West,2301 to 2400m,ADSL,B,Rural,England,5.93,5.39,5.99,5.91,5.61,5.97,0.71,0.66,0.73,0.71,0.62,0.74,0.00%,0.00%,28.42,28.47,0.86,0.8,0.36,0.36,38.24,38.29,0.05%,0.04%,929,932,0.03,,,,,,,,,,,0.00%,99.32%,0.68%,0.00%,2228.67,0.00%,99.07%,0.93%,0.00%,2494.3,,,,,,,,,,,5.97,5.94,5.89,5.93,5.83,5.94,5.95,5.9,5.94,5.97,5.91,1.04,1.04
"1,366",Sky,76,North West,,FTTC,B,Urban,England,74.47,72.57,74.72,74.26,72.58,74.71,18.67,18.64,18.68,18.67,18.56,18.68,0.00%,0.00%,8.83,8.74,0.28,0.24,0.23,0.22,9.99,10.05,0.09%,0.37%,115.22,116.8,0.33,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,658.93,100.00%,0.00%,0.00%,0.00%,658.03,,,,,,,,,,,74.69,74.7,74.7,74.7,73.77,74.64,74.63,74.68,73.13,74.69,74.17,1.12,0.3
"1,384",Plusnet,17,Yorkshire & Humberside,701 to 800m,ADSL,B,Urban,England,14.23,13.72,14.33,14.24,13.99,14.29,0.97,0.91,0.95,0.97,0.59,1.01,0.01%,0.00%,69.69,68.11,1.26,1.24,1.12,1.12,18.34,18.02,0.17%,0.02%,338.24,330.9,0.67,,,,,,,,,,,2.44%,96.34%,0.00%,0.00%,1305.69,,,,,,,,,,,,,,,,14.19,14.2,14.26,14.29,14.33,14.33,14.23,14.14,14.1,14.21,14.26,0.97,0.15
"1,403",BT,76,Northern Ireland,,FTTC,B,Urban,Northern Ireland,73.99,70.2,74.35,73.8,70.8,74.35,18.56,18.39,18.66,18.56,18.27,18.8,0.03%,0.00%,17.98,18.02,0.2,0.19,0.35,0.4,17.52,17.61,0.03%,0.08%,174.72,174.32,0.24,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,452.91,100.00%,0.00%,0.00%,0.00%,458.82,,,,,,,,,,,74.31,74.29,73.9,74.17,74.07,74.12,73.43,73.16,73.82,74.31,73.85,,0.67
"1,404",Sky,76,Northern Ireland,,FTTC,B,Urban,Northern Ireland,66.73,62.26,70.34,66.83,62.31,70.43,18.56,18.24,18.67,18.61,18.41,18.67,0.00%,0.00%,13.59,13.59,0.2,0.19,0.38,0.39,16.2,16.44,0.01%,0.01%,167.73,160.06,0,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,1024.19,100.00%,0.00%,0.00%,0.00%,1032.79,,,,,,,,,,,,,,,,,,,,,66.83,0.58,0.31
"1,408",BT,38,East,,FTTC,B,Urban,England,34.5,27.27,35.59,34.23,31.56,35.25,5.81,5.54,6,5.8,4.58,7.32,0.02%,0.00%,24.55,24.67,0.34,0.35,0.55,0.86,23.47,23.71,0.12%,0.00%,249.27,256.62,0.33,,,,,,,,,,,98.84%,0.58%,0.58%,0.00%,1098.54,100.00%,0.00%,0.00%,0.00%,1148.4,,,,,,,,,,,35.33,35.06,33.9,35.02,34.15,33.35,33.97,34.45,34.43,35.56,34.7,1,
"1,428",BT,38,Wales,,FTTC,B,Urban,Wales,35.19,29.77,36.51,34.3,30.29,36.01,7.14,7.06,7.18,7.14,6.37,7.35,0.01%,0.00%,17.07,17.12,0.33,0.33,0.34,0.44,16.66,16.63,0.08%,0.07%,195.02,200.98,0.3,,,,,,,,,,,98.59%,1.41%,0.00%,0.00%,1066.8,97.14%,2.86%,0.00%,0.00%,1151.19,,,,,,,,,,,36.05,36.12,36.04,34.47,34.87,32.78,33.83,33.88,35.92,36.1,34.15,,0.27
"1,448",Plusnet,38x10,Northern Ireland,,FTTC,A,Rural,Northern Ireland,23.75,22.65,23.96,23.68,22.72,23.96,3.01,2.97,3.06,3.01,2.86,3.3,0.38%,0.46%,19.73,19.74,0.37,0.38,0.27,0.33,17.95,18,0.03%,0.05%,540.43,489.16,0.04,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,1416.71,,,,,,,,,,,,,,,,23.9,23.9,23.84,23.9,23.84,23.3,23.62,23.6,23.82,23.9,23.61,,
"1,456",Post Offic,20,Yorkshire & Humberside,1801 to 1900m,ADSL,B,Urban,England,16.6,13.16,17.6,16.48,13.61,17.55,0.82,0.68,0.87,0.82,0.43,0.89,0.00%,0.00%,18.46,18.57,1.55,1.62,0.74,0.87,24.06,24.12,0.36%,0.23%,502.58,493.35,0.25,,,,,,,,,,,78.13%,21.88%,0.00%,0.00%,1769.03,,,,,,,,,,,,,,,,16.7,16.57,17.23,16.84,16.93,15.83,16.8,16.54,15.94,16.8,16.5,,1.42
